fen,best
2k5/ppp2p1p/5q2/2b1P3/5P2/1PN2b2/P2r2PP/R4R1K w - - 0 18,e5f6
N1b5/pp1kbN2/3p1p2/4p3/3nP3/7Q/PPPKB2P/6q1 b - - 2 24,d4e6
r5k1/p1p2p1p/2n1r1p1/2N5/5b2/2P2B2/PPbR1PPP/R1B3K1 w - - 5 17,d2c2
1k5r/1pp5/pq2N1pb/3Qp2p/7P/1NP5/PP3rP1/1K1R3R w - - 0 23,b3c5
1Q6/3kpp1p/B2p3b/4p1r1/4P3/2P2bPq/PP3P1K/R3R3 w - - 0 24,h2h3
5rk1/P6p/2Np2pb/3Pp3/8/3Q4/5P1q/1R3KR1 w - - 3 32,b1b8
r1b1k2r/bpp2p2/p1Pp4/8/P1BNP1n1/2Pp2N1/5PP1/R1BQRK1q w kq - 4 21,g3h1
r4bnr/1pq1kpp1/4p1b1/pB1pP1Pp/7P/Q7/PPPB1P2/RN2K2R b KQ - 3 14,e7d8
8/8/8/1R6/5pkp/6b1/1R4K1/4r3 w - - 3 75,b5b7
3r2k1/5p2/2qP1PpQ/p7/1p2p3/1Pn4P/P5P1/5R1K b - - 0 37,c6d6
6k1/p4p1p/6p1/4B3/3PP1Q1/2r2PK1/P2q2PP/8 b - - 0 32,c3c8
r2qkbnr/pp2ppp1/1np4p/4N3/3P2b1/1BN5/PPP1QPPP/R1B2RK1 b kq - 5 10,g4e2
r4r2/p3qk2/1pQ3p1/2p2p2/3Pp3/P1P1P3/4KP1P/6R1 b - - 1 26,c5d4
3r1k1Q/pq1P2p1/4pp1p/2p5/2P5/6P1/P4PP1/3R2K1 b - - 2 32,f8e7
r2qk2r/1bp1bp2/pp2p2p/3nN1p1/3P4/2N1PQB1/PP3PPP/R4RK1 b kq - 3 15,d5c3
rn2k2r/ppp2ppp/4P3/1q3bBP/6n1/2P2N2/P1P5/R2QK2R b KQkq - 0 15,f5e6
2kr3r/1p2bpp1/p3p1b1/6Pp/P6P/1Bq5/1P1NQ3/2KR3R w - - 0 21,b2c3
2r2rk1/pb3pp1/1pq1p2p/4P3/P2P4/2PB2nP/3BQ1P1/R4RK1 w - - 1 21,e2g4
2r2rk1/5pp1/3p2b1/1Pp1p1q1/2P1Pn2/1Q1BbP1P/4NBP1/R2R2K1 w - - 3 29,f2e3
rn2kb1r/ppp1pp1p/2q5/6pb/2BP1n2/5NPP/PPP2P1K/RNBQ1R2 w kq - 1 10,f3e5
2k3r1/2b2p2/p3pp1p/1P6/3Pb3/4PP2/4B1r1/3Q1R1K w - - 0 23,f3e4
r1b1k2r/ppppqppp/8/4Q3/1b1P4/7P/PP3PP1/RNB2K1R w kq - 1 13,e5g7
r1bqk2r/pR3Bpp/1bpB1p1n/4p3/4P3/1QP5/P2N1PPP/3R2K1 b kq - 4 19,h6f7
r4kr1/1p1bpp2/3p1np1/p1pP2Np/P1P1PP2/1PB3PP/8/4KB1R b K - 0 20,f6e8
r3k2r/pppn1pp1/2np4/4p3/2P1PP1q/2PP2p1/P3B1PN/R1BQ1RK1 w kq - 0 13,e2g4
2kr4/ppp2pp1/2nbb3/8/7q/4B3/PPP1P1BP/RNQ1R2K w - - 0 15,e3g5
r6k/6p1/p4P1p/8/1P3PQK/q6P/8/8 b - - 0 47,a3b4
r3r1k1/ppp1npp1/2b1pn1p/3q4/3P4/P1P2NP1/1P1B1PBP/R2QR1K1 w - - 1 18,f3e5
1k1rr3/ppp1p2p/6pq/1P6/N2Pp3/P1P1b2b/4B1P1/1R2QR1K w - - 0 22,g2h3
r4rk1/pp3pb1/2p2n2/4pN2/P3p3/1P1P2P1/2P2PK1/R6R b - - 1 26,e4d3
r1b1k2r/1pqp1ppp/p1n1p3/8/4P1n1/1NNBQ3/PPP2PPP/R4RK1 w kq - 1 12,e3e2
r1b3k1/pp2Bpp1/2n4p/3Q4/4n3/1BP2N2/PP4PP/RN3q1K w - - 2 18,f3g1
r3r1k1/pp3p1p/2pp2p1/8/2R2B2/8/P4QPP/4q2K w - - 0 30,f2e1
5rb1/k6p/3rPnpP/ppq3R1/1p6/1B6/PPP3Q1/1K1R4 w - - 0 38,g5c5
3r2r1/1Qpkq3/7p/1R2p3/2Pp1p2/P7/4PP1P/R4K2 b - - 3 24,d7d6
4Q3/3P3k/1p3bp1/3q4/1P6/p1B3Pp/P4P1P/6K1 w - - 0 44,d7d8q
r2qr2k/1p1b3p/p2P1Q2/3B4/8/2B5/PP4PP/R5K1 b - - 0 23,d8f6
r1b1k2r/pppp1ppp/2n4q/2N5/4p1n1/6P1/PPPPPPBP/R1BQNRK1 w kq - 2 9,d2d3
8/8/5k2/4p1p1/4P3/1B1P3P/1Q4n1/3Kq3 w - - 3 65,d1c2
1R2Q3/2R2pk1/6p1/1P1P1n2/r4K2/6r1/6P1/8 w - - 5 58,f4e5
8/1pr1R2p/4b1kr/4P1pN/3B2P1/7P/5R2/7K b - - 0 33,c7e7
2r5/5ppk/8/p1Rp3Q/3P3P/P3P1K1/5PP1/1r5q b - - 1 35,h7g8
1r3rk1/pb1Nbppp/4p3/8/2QR4/2N1P3/Pq4PP/5RK1 w - - 0 19,d7f8
r1bq3r/pp1n1k2/2pbQn1p/6p1/3P4/1B5N/PPP2PPP/R1B1K2R b KQ - 0 13,f7f8
r2qr1k1/n3bN1p/5npB/p2p1B2/1p1P4/2P2Q2/PP3PPP/R3R1K1 b - - 0 20,g8f7
6k1/5pp1/p3pb1p/Bp2pn2/2r5/2P4P/PPB2PP1/3R2K1 b - - 4 23,f5e7
N6q/1p1k4/3p2Q1/p5p1/P1n1P1b1/1N3rP1/1PP5/2K4R w - - 1 27,h1h8
5Q2/6pp/p3p3/P7/1b3nk1/3p4/1P3q2/1R1KR3 w - - 5 38,f8b4
r3k1nr/p5Qp/2p2B2/8/1bb5/2N1PN2/Pq3PPP/3RK2R w Kkq - 1 18,g7h8
r3k1r1/3nbp1p/b1p1p2B/q7/1p2PPP1/1P5P/P2Q4/1K1R1BNR b q - 4 18,a6f1
4k3/3n1p1r/p3p1p1/2B1q3/1PP5/P1NQ2Pp/6bP/3R2K1 b - - 1 30,d7c5
2r3k1/5P2/4K1PP/2q5/8/8/8/8 b - - 0 75,g8f8
r3k2N/ppp5/2npbq1p/2b1p3/2B1P3/3P4/PPP2PPP/RN1QK2R w KQq - 0 11,c4e6
r3r3/5Q1p/p2p2pk/1p6/1N3n2/P6P/BP3qP1/R3R2K w - - 1 29,e1e8
2kr2r1/ppp2p1p/3p1p2/2b1p3/2PnP1q1/2NP1N2/PP3PPP/R2Q1RK1 w - - 7 14,f3d4
7R/5p2/4b3/1p6/k7/2K5/8/8 b - - 3 56,a4a3
6k1/1p4pp/4pp2/8/2P2PPn/P2Nb1nP/1P6/2NB1K2 w - - 8 33,f1e1
1r3r1k/p1p3pp/3pB1Q1/2pP4/2P2R2/1P2P2P/P7/6K1 b - - 0 28,h7g6
r4rk1/ppp1ppb1/6p1/3N1b2/2B5/6P1/PPP2PPR/3RK3 b - - 4 16,e7e6
1r3rk1/pN2pp1p/q1B3p1/8/3bP1b1/1R6/3B1PPP/1Q2K2R w K - 3 24,c6d5
r3k3/pR3Q2/p2b2p1/2pP2q1/4r3/P5P1/2P2P1P/6K1 b - - 3 36,e8d8
2kr3r/ppq2pp1/4p3/2p5/4Q1p1/2PBB3/PP3PP1/R4RbK w - - 4 18,h1g1
2r2r2/1b3pkp/p1q1p1p1/1p2P3/1PpP4/P1N4P/3Q1PP1/R2R2K1 w - - 4 23,a1c1
4r1k1/ppp5/3p3p/8/2PK4/2PP1nP1/P7/R1B5 w - - 5 27,d4d5
2r4k/5pb1/3B2p1/1qP1P3/p7/3RQ2P/PP6/1KR5 w - - 2 31,e5e6
5rk1/p5p1/1p6/2r2PQ1/3pq3/6R1/6PP/5RK1 b - - 4 40,c5f5
8/p3Np2/5p2/3R2kp/r5P1/5P2/P4K1P/2r5 b - - 3 32,g5f4
3rR1k1/p2Q1ppp/5b2/8/8/1P3PP1/P1qp1PKP/8 b - - 1 41,d8e8
1r6/r3bk1p/1q3npB/2p3R1/2Pp4/pP5P/P3QP2/2KBR3 b - - 0 27,e7d6
1k1r3r/2q2ppp/Q3p3/3pPb2/3n1P2/8/PPP3PP/2KR1B1R w - - 0 18,d1d4
rnb2kr1/pppp1B1p/1q6/8/1P2P1n1/8/P1P2RpP/RNBQ2K1 w - - 5 15,f7g8
1R6/1p5p/1B3kp1/P2p1p2/5K2/7r/8/8 w - - 8 44,b8b7
2r2k2/1p1R1ppQ/p3pb1p/7P/5q2/P7/1PB3P1/1K6 b - - 5 36,f4e5
r6r/pp3B1p/1b3p2/5b2/1P2nP1k/2P1P1PP/P7/2KR2NR b - - 0 22,e4g3
1k5r/pp3p2/2PKq3/3p2p1/1Q1P2b1/2N1P3/P5P1/2R5 w - - 3 31,d6c5
3r2k1/1qb2p2/1p4rp/2pb1Q2/8/1PB1P1P1/P6P/1R3RK1 b - - 0 33,d5e4
r5r1/pp1kbNp1/2p3Bp/3n4/3P4/6B1/P2q1PPP/4RK2 b - - 3 28,e7b4
r7/4k3/4pR1p/1p2P2p/3Pb3/2P4P/1P1R2P1/1K6 w - - 5 34,b1c1
5rk1/p1pb2p1/2n3Qp/2P5/3Pr3/P3b3/6PP/R3N2K w - - 0 25,g6e4
6r1/2pb3k/1p1p1b1p/2nP1p2/p1PNpPr1/P3B3/1P1Q1RPq/3B2RK w - - 0 33,h1h2
r2q1b1r/pp2k1Pp/2np4/2p1n1PQ/2Bp4/8/PPP3P1/RNB1R1K1 b - - 0 15,f8g7
r1bQ1k1r/pp1pp1q1/3n1pp1/1P5p/8/P7/5PPP/R3RK2 b - - 1 19,f8f7
r4rk1/ppp2p1p/3b4/3B4/3Np3/5bPq/PPP2P1P/R3QRK1 w - - 3 17,d5e4
8/6p1/2pk1p1p/p2pnP2/1P1K4/2P1N2P/6P1/8 w - - 0 39,b4a5
R6B/p1pk1p1p/2p5/3p4/8/1P2P1Pb/P1PPQ2P/R3K1q1 w Q - 1 18,e2f1
5k2/4rp1R/7P/pp6/6P1/1KP1n3/1P6/8 b - - 0 37,e3g4
r3k2r/pp2bppp/2N2n2/2pq4/3p4/3P4/PPP1QPPP/RNB1R1K1 b kq - 0 12,b7c6
r1bq1r2/4b1kR/1np2pB1/1p1p4/p2P4/4P3/PPPNQPP1/2KR4 b - - 2 17,g7g6
5rk1/5Qpp/p2p4/6qn/2B4b/5P1P/PP3P1B/4R2K b - - 0 27,f8f7
5rk1/1pq3pp/2p5/p2p4/3PP3/1P1Q3P/PB2R1Pb/6K1 w - - 3 26,g1h1
1r1k2nr/p4Qbp/2n1N1p1/3q4/5p2/8/PP3PPP/RN3RK1 b - - 0 18,d8c8
1R6/1R4k1/3r2pp/p1bP1p2/5P2/2r2BPP/6K1/8 b - - 8 38,g7f6
3r3k/8/p6p/1pp5/4Q2p/PPq4P/2R2P2/3KB3 w - - 2 44,d1c1
r6r/pp1k1ppp/3b1n2/2p1q3/3p4/1P2N3/PBPP1PPP/R2Q1RK1 w - - 0 14,e3c4
r4nk1/pp4pp/2p2p2/2b1qN2/6Q1/1P6/PBP2PPP/3R2K1 b - - 3 18,e5b2
r3kb1r/ppp2pp1/4p1p1/3pN3/3P1Bnq/4P3/PPP2PP1/RN1Q1RK1 w kq - 2 12,f2f3
5r1k/pQ1R4/2p3pp/4q3/8/7P/PP4PK/8 w - - 3 26,h2h1
r2qR1k1/ppp2p1N/2n4Q/2b2b2/2pp4/8/PPP2PPP/RNB3K1 b - - 0 14,d8e8
1N6/2R1k1p1/4pp1p/p2p4/Pb1P4/1r3P1P/5KP1/8 b - - 5 41,e7d6
4k3/2b4p/pp4rB/2p4Q/2P1q3/8/PP4PP/3R2K1 w - - 0 28,d1d2
1r1q1rk1/p3pp1p/1p1p1npb/3P4/2P1N3/1PQ2NP1/PB3PBP/1R4K1 b - - 0 18,f6e4
r1bq1knr/1pp3p1/p1np3p/2bN2NQ/3pP3/8/PPP2PPP/R1B2RK1 b - - 1 10,g8f6
1r2r1k1/5ppp/1p3n2/n5Q1/q2pP3/1N1P2PP/P4PB1/R1B2K2 w - - 3 24,b3a5
r3k1nr/pp2Np2/2np2p1/2p1p3/4P3/3PN1Pq/PPP2PKP/R1BQ1R2 w kq - 1 14,g2f3
2kr2r1/pp2nQ2/2p1p3/3qn3/3P4/2P3N1/P4P1P/1RB1K1R1 w - - 0 17,d4e5
6k1/2r4p/3Q2p1/2rP4/2pq4/5RP1/1PR3KP/8 b - - 0 43,d4d5
3rk2r/1bqnppbp/p5N1/1ppn4/5B2/2P5/PPB2PPP/RN1QR1K1 b k - 0 14,d5f4
3r1rk1/pp3pp1/1qp1b2p/2n5/8/1P5P/P1QR2P1/1B3R1K b - - 6 22,d8d2
2r3k1/p1r2ppp/2p1p3/2R5/Q2Pqn2/5NPP/PPR2P1K/8 w - - 1 26,f3e5
4q3/5p1p/kr3Pp1/pp1Q4/8/PP5P/5KP1/8 b - - 0 51,e8e6
4r3/1k3p2/2p4p/1p1p4/3P1n2/PBN2P2/5P1P/2R3K1 w - - 1 28,b3d1
6k1/1pp3pp/p1p5/2b1r3/4P1b1/8/PPPB2P1/R4R1K w - - 1 22,a1e1
3r4/p1pkq3/B2p2p1/1Q1P1b2/8/2b1B3/P1P2PP1/5K2 b - - 5 21,c7c6
1R6/1P3p2/6p1/7P/5kP1/1r5K/8/8 w - - 1 42,h3h4
rn1q1r1k/pbp3pp/1p1p1b2/8/2PP4/3B1N1Q/PP3PPP/R1B1K2R b KQ - 2 12,b7f3
8/R6p/2P3pk/3B1p2/5K1P/p3P1P1/1b6/3r4 w - - 1 43,d5g8
2n1Rbk1/p2r1p1p/1pp3pB/8/8/P1N5/1P3PPP/6K1 b - - 3 35,d7e7
rnb2k1r/pppp1Bpp/8/4Np2/4n3/3P4/PPP1K1qP/RNBQ3R w - - 0 10,e2e3
r5k1/3p1pp1/2bPp2p/3qP3/8/4QN1P/3N1PP1/4R1K1 w - - 1 29,f3d4
r1br4/p2n1Q1k/2p1p2P/5pP1/3P1q2/P7/5P2/R3K2R b KQ - 3 29,h7h8
r1b1k2r/5ppp/pqn1p3/1p6/1bP1nQ2/1P1p1NP1/PBP1NPBP/R4K1R w kq - 0 14,c2d3
r1b2r1k/3p1p1p/p1p1pP2/q7/3N2Q1/2P5/P1P2PPP/R4RK1 b - - 0 14,a5c3
1r2N1k1/4ppb1/2q3pp/2p5/P7/1P1Qn2P/5PP1/2B1R1K1 w - - 0 25,e8g7
r1q2b1r/ppNk1pp1/6bp/3p4/5Q1P/1P3P2/PBP3P1/2K3NR w - - 1 17,c7a8
5k2/4pp2/3n4/3P3Q/1r4B1/5PK1/2r5/8 b - - 0 40,b4b2
5rk1/pp1bqpb1/4p2p/3p2p1/2r5/2P1PN2/PPQ2PPP/RB2K2R b KQ - 1 18,e7c5
rnbqk1nr/pp3ppp/2pp4/6bQ/2B1PB2/2NP4/PPP3PP/R3K1NR b KQkq - 2 7,g5f4
3r1rk1/1pqn1ppp/2p1p3/p3P1Nn/PbPP2b1/2NQ2P1/1B3PBP/R3R1K1 b - - 2 16,h7h6
3k4/p2P4/1p1b1N1p/6p1/8/2R5/KP6/4r3 b - - 6 46,e1e7
r4rk1/ppqnbppp/1np1p3/4P1N1/2PP4/3QBN2/PP4PP/R4RK1 b - - 9 14,h7h6
2r4k/4Q1pp/3p4/1R6/3NP3/4BP2/2n3PP/q5K1 w - - 1 28,g1f2
1nkr3r/1bppn1qp/1p2p3/4p3/1P1P4/2PB1N2/5PPP/RN1Q1RK1 w - - 0 15,f3e5
1r2k2r/p4pp1/2p1p3/7p/3P1Rnq/1BP1p3/PP2Q2B/RN5K w k - 0 22,e2f3
8/1q4k1/3P2p1/p1Q1p2p/Pp5P/1P4P1/2PRRr1K/5r2 w - - 1 30,e2f2
2b2Bk1/pr3pp1/1pq4p/4Q3/8/2P2P2/PP3P1P/3R2K1 b - - 1 27,c6f3
1b1r1rk1/pp3ppp/2pq1n2/3p4/1PPN4/P2QP2P/1B3PP1/1R3RK1 w - - 3 18,c4d5
5rk1/ppp3p1/2np3p/2bNp2n/4P3/P2P3P/1PP1N1PK/R2QBq2 w - - 6 18,e2g3
r2qk2r/2p1bppp/1n2pn2/p3N3/P2PN3/2p1PQP1/5PKP/R1B2R2 b kq - 1 16,f6e4
B5k1/2p3pp/1p6/p7/3P2q1/PN3p2/2PB1P1K/5R2 w - - 0 29,f1g1
5nk1/pb3p2/1p4pp/2p1B3/4q3/P1Pr3P/2Q1BPP1/4R1K1 w - - 0 30,c2d3
6k1/6p1/4R3/3p3p/P2Pp1p1/4P1P1/4q2P/2Q2r1K w - - 1 45,c1f1
2r3Qk/p5pp/7N/1p6/8/8/P4PPP/b5K1 b - - 6 29,c8g8
r1b2k1r/pp3pp1/3p4/2pNb3/4P2q/3P1Q2/PPP2PP1/R1B2RK1 w - - 6 18,g2g3
r3Nr1k/1p5p/6p1/p4b2/2Bq1R2/8/PPQ3PP/7K b - - 0 29,f5c2
8/6k1/p6p/P1R5/6PK/r6P/8/8 w - - 1 43,h4h5
1r4k1/p4pp1/2p1p2p/2P1q3/8/6P1/PPQ2P1P/3R2K1 b - - 1 21,b8b2
8/pp3p1p/2q1pQpk/4P3/P6P/6P1/5P2/3R2Kb w - - 5 34,f6f7
2r3k1/1b2B1p1/pr5p/4pp1Q/n7/5P2/P5PP/2q2R1K w - - 0 36,f1c1
1r6/R3R3/2pp1k2/3b1pp1/8/2P3P1/2P2P1P/6K1 w - - 1 30,e7d7
2k2r2/ppp3pp/4p3/3r4/8/2Q1Bq2/P1P4P/RN2R1K1 w - - 0 19,e3a7
6k1/p4pp1/1p5p/3pP3/P2Pqn2/1PQ4P/5BP1/6K1 w - - 8 30,c3e3
1r1q1rk1/4bpp1/pp2bn1p/3N4/1P1Q4/P3P1P1/1B3PBP/1R1R2K1 b - - 0 17,f6d5
1r3r2/2p4p/p5k1/2p2pb1/2b1pN2/P1BqP3/3P1PP1/R2QK2R b KQ - 9 23,g5f4
5r2/2R1Npkp/Q5p1/6q1/8/7P/b4rP1/R5K1 w - - 0 27,a1a2
rn1qk2r/pp3ppp/5n2/b1p5/2B1P1b1/1NP1BQ2/PP4PP/RN2K2R w KQkq - 4 12,f3f2
r2q1rk1/pp3ppp/2b5/3Np3/3nQ1P1/3B1P2/PPP4P/2KR3R b - - 2 18,c6d5
r2q1rk1/p1p2ppp/2p5/4b3/6b1/1P3N1n/PBP2P2/R2Q1R1K w - - 0 16,d1d8
8/pk4rp/8/1p1p1p2/1P1R1P1P/8/P1r5/3RK3 w - - 0 42,d4d5
r1b1k2r/2qp1p2/p1p1pp2/8/4P3/2N2B2/PPP2Pp1/R2Q1RK1 w kq - 0 16,g1g2
r1b2r1k/p6p/4p3/1p2Qp1N/5P2/6P1/q1P4P/5R1K b - - 1 27,h8g8
3r1k1r/ppp3p1/5n1p/7b/1b2p3/2N1B3/PPP2PQP/R2qK1R1 w Q - 8 20,a1d1
1r1r4/8/p7/1pp4p/2P5/R7/2k1R1PP/2B3K1 b - - 7 40,c2c1
r4r1k/p1p3pp/2Qb4/3B4/3Ppn2/4BbNq/PPP2PPP/R4RK1 w - - 1 17,g2h3
7k/1p1R2p1/7p/5p2/1P1P4/1P1b4/r4PPP/6K1 w - - 0 29,d7b7
2b5/5pk1/5p2/3Q4/2P2P1p/3B3P/P1P3PK/1r2r3 w - - 0 26,d5h5
r5k1/pb1R2pQ/1p2pqB1/4n3/8/8/Pb3PPP/5RK1 b - - 5 21,g8f8
r2r2k1/ppq1bpp1/2p2np1/2Pp4/PP4n1/1QN1P3/1B2BPPP/R4RK1 w - - 4 16,a1d1
5k2/3rNp1p/4PQpb/1p6/2qP4/2P2R1P/P5P1/7K b - - 0 40,d7e7
r2qkb1r/ppp1ppp1/5n1p/4N3/2Bn2b1/2NP4/PPP2PPP/R1BQR1K1 b kq - 2 9,g4d1
r2qrbk1/1pp2p1p/2np2B1/p2n3Q/2P2P2/P1B1P2P/1P4P1/R4RK1 b - - 0 18,h7g6
r1b1kb1r/1pqp1pp1/p1n1p3/6Bp/3NP1n1/2PB4/PP3PPP/RN1Q1RK1 w kq - 2 10,f2f3
4Q3/2p5/p4pkp/1p1q2p1/8/2P1P1PK/PP5P/8 b - - 3 53,g6f5
3r1rk1/p4ppp/1p2p1q1/3bn3/8/P1P1PN1P/4BPPK/2RQ1R2 w - - 2 18,f3e5
r3k2r/ppp2p2/5q1p/5N2/3Pp1p1/2PnP1P1/PP2KPP1/R2Q3R w kq - 3 17,f5h4
3r2k1/ppp2ppp/2q5/4R3/3P1nb1/1PPQ4/PB1N2PP/6K1 w - - 3 20,d3c4
2R3nr/4ppkp/1Q3bp1/8/8/B5P1/4qP1P/6K1 b - - 1 27,e7e6
r1b1k2r/ppp2ppp/2p5/2b5/3qN3/8/PPPPBPPP/R1BQK2R w KQkq - 1 8,e4c3
2k1r3/1pnrq3/1B3n1p/QN1pp1p1/8/8/P1P3PP/3RR1K1 b - - 3 24,c7b5
rb3rk1/1p3ppp/p1nqbn2/3p4/1P6/P1N1PN2/1B2BPPP/2RQ1RK1 w - - 2 16,f3g5
8/6qP/4k3/8/5p1R/5P1K/8/8 w - - 7 58,h7h8q
r1bqk2r/pp1nbpp1/2p1pn1p/4N3/3PN2B/1R1B1Q2/P1P2PPP/5RK1 b kq - 5 15,f6e4
r1b2rk1/pPb3pp/8/4qp2/8/1P2PQ2/P2N1PPP/RB3RK1 w - - 1 18,b7a8q
1r4r1/p4Npk/7p/4p3/3q4/P6P/1P4QP/K5R1 b - - 7 31,b8b2
rnbqkb1r/pp2nppp/4p3/1Bp1P3/3pN3/5N2/PPPP1PPP/R1BQK2R b KQkq - 3 6,c8d7
r1b2Q1k/pp1n2pp/2n1p3/4q3/3pN3/P7/1B2B1PP/5RK1 b - - 5 27,d7f8
rnb3k1/pp1p1ppp/4p3/q7/3N3Q/P2P2P1/5P1P/4RK1R b - - 0 17,a5d5
8/5kp1/8/3p1P2/PP1R4/1N1K1P2/1r3r2/8 w - - 4 47,b3c5
r5k1/1ppq1pp1/p2p3p/2b1p3/4P3/2PP3r/PP1N2P1/R2Q1R1K w - - 0 20,g2h3
r3k2r/pbqpbpp1/2p1p3/7p/2P3n1/P1N1PB2/1P1B1PPP/R2Q1RK1 w kq - 2 13,h2h3
3k3r/1p4p1/p1pp1p2/7q/2P1PR2/3Pn3/PP2N1Q1/5RK1 w - - 4 25,g2f3
5rk1/p1p2ppp/2B1bn2/4p3/3q4/2PnB1P1/P4r1P/R2Q1KNR w - - 0 17,e3f2
8/2Q1R1pk/p1p3r1/4BK1p/P7/3q2P1/5P2/8 w - - 5 49,f5f4
3RQbk1/7p/p1b3p1/1pr1P1q1/2B5/7P/P4PP1/5RK1 b - - 0 30,c5c4
8/7p/2b1pQ2/2Pq2pk/pP4P1/2P4P/5P1K/8 b - - 0 36,h5h4
2r2rk1/pp3ppp/8/2b5/4Q1n1/P5P1/1P1BP1BP/1R1R2qK w - - 1 24,d1g1
4rrk1/pbp2p2/1p1p2pQ/1B6/4q3/8/PPP2PPP/3R1RK1 w - - 0 17,b5d3
8/5k1K/R4p2/5pr1/6P1/8/8/8 w - - 0 61,g4f5
r2q2kr/3n1ppp/2p2n2/pp6/4R3/PPQ2NP1/1B3PBP/R5K1 b - - 0 18,f6e4
r3k2r/ppp2p1p/2n5/6p1/4p1n1/P1N4P/1BPPBqK1/R2QR3 w kq - 0 18,g2h1
2R5/1r3p1k/1q2pQp1/1r5p/3p4/7P/5PP1/5RK1 b - - 3 54,b5f5
3bk2r/1Q3pp1/1p1Np1p1/3p4/3P2P1/P6P/1qP1KP2/8 b - - 2 27,e8f8
8/8/5p1R/4pk1p/7P/r4P2/5PK1/8 b - - 4 43,f5f4
r4r1k/1ppb4/3p4/p2PqP2/2P1PpR1/2P4P/P1Q5/2K3R1 b - - 2 25,f8g8
rn2k1nr/1bpp4/ppq1p3/5p1p/N1P1PBp1/3B2P1/PP3P1P/R2Q1RK1 w kq - 0 16,e4f5
3r2k1/3R1ppp/p4q2/1p6/1Pn1Q3/5N2/R4PPP/6K1 b - - 0 25,d8d7
8/p3Qprk/1p2p2p/3pP2p/3P4/5q1P/PPR3R1/5K2 w - - 0 28,g2f2
r1bQ1k1r/1p2bpp1/p6p/1B2R3/5B1q/8/PP4PP/5R1K b - - 1 24,e7d8
r2qr1kb/p2bpp1p/1np3pB/1p1n2N1/3P1Q2/1BP2P2/PP2N1PP/3R1RK1 b - - 4 17,d5f4
r1b3k1/1p3pbp/p2q1np1/3p3r/1P6/P1NBP3/1BQ2PPP/3R1RK1 w - - 4 18,c3e2
r4r1k/2qbp2p/3p1npQ/p3n1P1/1p1NP3/5P2/PPP1B3/1NKR3R b - - 0 19,f6g8
4bk2/5r1p/R7/8/3Q4/6P1/1P3PKP/4q3 b - - 2 39,e1e7
r5k1/1p3pp1/p4q1p/3b4/1P6/P2B3P/5PP1/3RQ1K1 b - - 0 26,a8e8
r2q1rk1/1ppb1p2/3bp1PQ/3p4/1n3P2/4PN2/P1PP3P/RN3RK1 b - - 0 17,d8f6
r6k/p1p2rpp/3p4/6Q1/2NBP3/2P1Rb1q/PP3P2/R5K1 w - - 12 22,g5g3
2kr4/ppp4p/8/2R3pq/3nP1n1/1B1P2P1/PPP3QP/RNB2r1K w - - 1 18,g2f1
2r5/2pq2Q1/3krn1N/pp1Rp3/1n1pP1P1/3P3P/PP3P2/2R3K1 b - - 10 32,f6d5
8/R6p/2R3pk/8/PP3p2/2P4P/6PK/2r1r3 w - - 0 36,h3h4
r1b1k2r/1pqp1pp1/p1n1p3/2b4p/2PNP1n1/2N1B2P/PP2BPP1/R2Q1RK1 w kq - 1 11,e2f3
r2qk2r/3bpp1p/pp4p1/P2P3n/P4B2/3BPN2/5PPP/Q4RK1 b kq - 0 16,h5f4
1rqr2k1/5pp1/2b1Nn1p/1p6/1P6/1BPR2QP/5PP1/4R1K1 b - - 0 26,d8d3
2kr1b1r/1p3p1p/1pR2np1/4B1q1/PP6/3B3P/5PP1/3QR1K1 b - - 0 21,b7c6
8/8/5r2/8/8/2k5/KR6/8 w - - 53 91,b2b1
4r3/p5p1/6kp/3p4/P2N4/1P6/2R2PPP/6K1 w - - 1 41,d4c6
8/p5pk/1p2R1Pp/5n2/5r1P/2P5/P1K5/8 b - - 0 36,h7g8
8/2r3k1/RpNnp1pp/1P1p2p1/3P4/4P3/5PPP/6K1 w - - 8 33,c6d8
5rk1/4Q1pp/4p1q1/p3P3/3p1p2/P5B1/1Pr2RPP/R6K b - - 1 29,f4g3
r1bq2kr/1p4bp/p2p2p1/3Q1nN1/P1n5/1PP5/5PPP/RNB1K2R b KQ - 2 14,g8f8
2r1k2r/pp3pbp/1qn1p1p1/1B1pPnB1/3P4/Q1N2P1P/PP3P2/2KR2R1 b k - 5 15,f5d4
2r2rk1/pbq2pp1/1pnbp2p/6N1/2B4P/2P5/P2B1PP1/RQ2K2R b KQ - 3 18,c6e5
r2k1b1r/ppqnpQp1/5np1/1B6/3Pp3/2N5/PP3PPP/R1B2RK1 w - - 0 13,f7e6
2kr2r1/pp6/2pP4/4Bp2/1PR1n3/P2pPN2/5Pq1/3QKN2 w - - 3 27,b4b5
r5rk/pp1n3p/2p1pp1N/5qp1/2pP1P1Q/4PP2/PP1RK2P/6R1 b - - 1 24,g5h4
8/8/1r2p2R/8/5P2/6kP/8/6K1 w - - 0 42,f4f5
6rk/pp1bR2n/n1pp1r1Q/2q3p1/7P/1P1P4/P1P3B1/3R3K b - - 3 26,g5h4
2k5/2p5/p1b1p3/5p2/4q3/1R4P1/PPP2Q1P/6K1 w - - 5 41,f2a7
