fen,best
7R/8/8/8/7P/6k1/2r5/6K1 w - - 4 47,h4h5
b4k1r/4bppp/3p1n2/4p3/4q3/4B3/PPP2PPP/R2QK2R w KQ - 0 17,e1g1
r4r2/1pp2R1k/p6p/R3B1bQ/4P3/1PN1q2P/1Pn3P1/7K b - - 0 21,f8f7
8/1R2N2p/8/6pk/8/6pK/3r3P/8 w - - 0 49,h2g3
5B2/pp5p/1r3p1Q/6p1/P3q3/6kP/6P1/2R4K w - - 11 47,c1f1
r3kQ2/p2q3R/1pb1pPP1/8/1P6/2p5/P6P/4R1K1 b - - 0 32,e8f8
rnb3k1/pppp2pp/1b2p3/8/8/3Nq3/PPP1B1PP/RNBQKr2 w - - 0 16,e1f1
2R3R1/5rpk/4p2p/7P/5B2/4P1P1/5PK1/q7 b - - 2 36,g7g5
r1b2rk1/ppp2pp1/3q3p/8/4QP2/3B4/PPP3PP/R4R1K b - - 1 18,c8e6
r1q2rk1/pppb1p2/3p2p1/3N2np/2PQP3/7P/PP3PBK/R4R2 b - - 3 18,g5h7
4rr2/8/p5pk/3p4/2pBbP2/6P1/PP3K2/2R4R b - - 1 33,e4h1
5r1k/2r5/1p3q2/pP2p1pQ/P1PbBp1p/3P3P/6P1/4RR1K b - - 1 34,h8g7
2nkrr2/2p4p/p1P1RBp1/5p2/8/5P2/P1P2P1P/2K1R3 b - - 2 24,f8f6
2kr3r/ppp2ppp/2nb4/7q/3P2n1/2N1BN2/PP2BPP1/R2Q1RK1 w - - 0 13,f3e5
r2qkb1r/3pnppp/p3p3/2p5/2P1NP2/1P1n1N2/3P2PP/R1BQ1RK1 b kq - 1 13,d3c1
5rk1/p1p2ppp/1p6/8/6P1/1PN2bbP/PBP1Pq2/R2Q3K w - - 0 22,e2f3
2k5/R7/2K5/1p1P4/8/8/8/1r6 b - - 8 62,b5b4
r4rk1/pp1b2pp/2p5/P3pp2/1qPb4/3P1Q2/1P3PPP/R1BBR1K1 w - - 1 18,a1a4
r2q1rk1/ppp2pp1/2n1pP2/6N1/3P4/P1PQ4/5PPP/R3K2R b KQ - 0 15,d8f6
5rk1/2p4p/p3q1p1/5pP1/2PQ1P2/PP5P/1B6/2K5 b - - 2 30,f8f7
r2qr1k1/ppp3pp/3b1np1/8/3P4/2P2Q1P/PP3PP1/RNB1R1K1 w - - 3 18,c1g5
r2qkb1r/pp1np2p/2p2nN1/3p4/3P1B2/3Q4/PPP2PPP/RN3RK1 b kq - 0 10,h7g6
r6r/pb2kp2/1p1pp2p/4bP2/Q2Nq3/2P2N2/PP4P1/R4RK1 w - - 0 21,f3e5
8/7p/8/R3N3/4k3/3pp1P1/P6r/3K4 w - - 0 48,e5g4
rnb2rk1/ppp3pp/4p3/3pNp2/3PnP1q/1P5P/P1PBP1P1/R2QKB1R w KQ - 3 11,g2g3
r1bq1rk1/p4ppp/1p1p1b2/n2P4/4Q3/3B1N2/P4PPP/1RB1R1K1 b - - 1 17,c8d7
r4rBk/pp1b1pp1/4p3/q2pn3/1b1P4/2RQPNP1/PP3PP1/4K2R b K - 1 17,h8g8
2b2rk1/1pq2N2/r2bpn1p/3p2p1/8/P1N3B1/1PQ2PPP/3RR1K1 b - - 0 18,d6g3
3rk2r/ppp2ppp/2p1Bn2/7q/8/BQN5/P1P2P2/2K2R2 b k - 2 17,f7e6
r3r1k1/3bbp1p/4pp2/qB6/1n1P3P/1QN2P2/1P4P1/1K1R2NR w - - 1 18,b5d7
r1b1nrk1/ppqn1pb1/2p3P1/P1B1p2Q/4Pp2/1BN4P/1PP2P2/2KR3R b - - 0 20,d7c5
8/pb1p2Rp/3p1p2/1p3k2/8/1B4P1/P2rrP1P/3R2K1 w - - 5 32,d1d2
1k3r2/ppp1n3/8/8/3P4/P1P1PqP1/2Q2P2/R5KR w - - 7 29,c2d1
5r1k/6pp/p1n1Qb2/1pp1p3/4P3/N2q4/PP1B2PP/5R1K w - - 2 27,e6c6
r3k2r/pp1b1p2/3pp1p1/2p5/2BbPPpq/P2P2Q1/1PP1N1P1/R1B2RK1 w kq - 2 17,f1f2
8/2P5/6p1/2R5/1P3k2/6p1/1r4K1/8 w - - 1 62,g2h3
8/p5p1/1k1b4/3P4/1P1P1q2/8/4QPpP/4B1K1 w - - 0 37,e1d2
3r3k/6pp/1p6/pQb1N3/P2pP1qr/3P1pP1/5P1K/1R4R1 w - - 0 37,g3h4
6k1/p4p2/Pp2p1p1/3pQ3/5r1p/PB5r/2P3PN/3R1q1K w - - 2 36,d1f1
6k1/4R1p1/5p2/5r1K/p2B4/1bP4P/1P3P2/8 w - - 0 34,h5g6
5k2/2r2p2/3n1R2/pppPp1Q1/4qN2/P1P5/6PP/6K1 w - - 4 33,f6d6
r4r1k/2B3pp/Ppn1B3/2p5/3p4/P1n4P/6P1/R4RK1 b - - 2 28,c6b8
1k3r2/1p6/p2pQ3/1q2b1p1/N3B2p/PP2P2P/2P3P1/3R2K1 w - - 2 30,d1d6
8/R2R2pk/7p/6r1/8/6P1/5PP1/2r3K1 w - - 3 41,g1h2
r1bq1rk1/p2n1pp1/1p2pb1p/8/3PQ3/2NB1N2/PP3PPP/R4RK1 b - - 0 13,a8b8
8/8/5R2/7r/4P1p1/4k3/8/4K3 w - - 0 54,f6e6
6r1/2p4k/p1bp1Q2/5N1p/1P3P2/6rq/P4R1P/6K1 w - - 0 42,h2g3
r1b1kbnr/pppp1ppp/4p1q1/1N1Q2B1/8/5NP1/PPP1PPBP/R4RK1 b kq - 0 10,e6d5
r1b1r2k/pp2q1p1/2n1pnQp/3p3N/3P4/3B1N2/P4PPP/3R1RK1 b - - 1 21,f6h5
3r4/5k2/1p3n1p/p1bp1QP1/8/4qN2/3N3P/3RK2R w - - 0 30,e1f1
5rk1/1p3pp1/rb1p1q1p/2p5/1Q1PP1PP/pP1R1P2/P7/1K3B1R w - - 0 24,d4c5
r4rk1/1pqb1n1p/5B2/pPbp1BN1/4p1P1/P6P/3Q1P2/R3K2R b KQ - 1 22,e4e3
4rrk1/p5Rp/1pp4q/4Q3/2PB4/7b/P2N1PP1/1R4K1 b - - 0 26,h6g7
3r3k/1pQ3pp/2n4q/p3p3/6R1/1PP3P1/5PKP/8 b - - 0 30,c6b8
5k2/pb2n2r/1p6/2p4B/3p4/P2P2P1/1PP1RP2/4R1K1 w - - 0 37,h5g4
r1br2k1/p4ppp/8/4Q3/8/1P6/q3BPPP/2R2RK1 b - - 0 17,d8e8
8/5pk1/2R3pp/8/P5R1/4n2P/1r5b/2N1K3 w - - 6 46,g4e4
3QR1k1/p1p2ppp/5n2/3P4/8/P4B2/2q2PPP/6K1 b - - 0 28,f6e8
4r3/1b3rbk/pP4pp/8/1Q6/8/1P3RqP/3N1R1K w - - 0 30,f2g2
rn1qrN1k/pp4pQ/2p1Bn1p/b7/3P2P1/2P5/PP3P1P/R1B1K2R b KQ - 6 16,f6h7
r2qkb1r/pp2ppp1/5n2/2p1N2p/2BpP1bP/P5N1/1PPP1PP1/R1BQK2R b KQkq - 0 9,g4d1
1q1rr3/2k2p1n/Q4b2/1p3P2/3P4/P1R5/1PP3PP/4R1K1 b - - 2 37,c7d7
r1b1nk1r/ppqpb1pp/8/2p1P2Q/5P2/1B1P4/PPP3PP/R1B1R1K1 b - - 2 14,d7d6
2k1R1r1/ppp2Nnp/7B/3R4/b1p5/2P5/P4PPP/2K5 b - - 0 19,g7e8
r1b1k1nr/pppp1ppp/8/4P3/3Q4/2n2N2/1qP1PPPP/RN2KB1R w KQkq - 2 10,d4c3
rnb1k2r/ppp2ppp/4p3/2Pn2B1/2P5/8/PP3PPP/3RKBNR b Kkq - 0 9,d5b4
8/5pk1/4p1pp/8/1P2B3/P1b3Q1/3r1PPP/1q4K1 w - - 0 35,e4b1
r1b2rk1/ppppqppp/2n5/4n1N1/1bP2B2/7P/PPQNPPP1/R3KB1R b KQ - 7 9,h7h6
4r1k1/2q2ppp/p1pb1n2/8/B7/2NP2Pb/PPP2P1P/R1BQ2K1 w - - 0 15,d1f3
2rq1rk1/1p3pp1/p3p1n1/1P1pP1N1/P1nP1P1p/3Q4/6PP/R4RK1 b - - 0 23,g6e7
6k1/1b3p1p/p2p4/1p1Pp1p1/4P3/1P3P1K/P1Q3PP/3Bq3 w - - 0 26,c2e2
8/p1R3k1/6p1/1p1B3p/4KP1n/P7/1r6/8 b - - 3 43,g7f6
4rrk1/pbp2pp1/1p1q3p/8/2Pp4/4P1Q1/PB1P1PPP/R3K2R b KQ - 0 17,d4e3
8/7r/2p2kp1/1p1p4/2p2Pp1/P1P3P1/1P1R1P2/3R1K1r w - - 1 56,f1e2
rn1q1rk1/2p2ppp/p2p1b2/3P4/3P1Bb1/2pQ1N2/PPB3PP/R4RK1 b - - 1 14,g4f3
4r1k1/pb3ppp/1b6/3q2Q1/p7/8/1P3PPP/2BR2K1 w - - 0 25,d1d5
4r1k1/5ppp/1Q6/2r5/1n6/P1Pn3P/3P2P1/R1B1KB1R w - - 1 24,e1d1
5r2/8/p1pkN3/1p1p3B/P2P3P/2N1K1P1/1nPQ4/5q2 w - - 2 34,e6f8
r1bq1rk1/pp1nbpp1/4p2p/8/3PQ2B/3B1N2/PP3PPP/R3K2R b KQ - 0 13,e7h4
8/6R1/4k1p1/R7/P6P/5BP1/1r6/2r4K w - - 7 43,f3d1
5r1k/1p4pp/p2p4/5p2/P1Q2N1R/7P/1q2r1PK/8 b - - 6 35,e2e4
8/1B2nk1p/4p1p1/1P2Pp2/5P2/1Q4P1/2r2q1P/1R5K w - - 3 36,b3f3
r3k2r/p2b1p1p/2p1pPp1/3p4/1Q6/2P5/P4PPP/qN3RK1 b kq - 1 16,a1a2
2rk3N/5Bpp/8/p7/1p1Pq3/K7/PPP5/RNBR4 w - - 0 25,a3b3
2kr3r/pppb1pp1/3q4/2bP1PBp/1PB3n1/2PQ4/P2N2PP/4RR1K w - - 1 18,b4c5
2kr3r/BpQbq1p1/3p1n1p/1B2n3/8/P1N5/1P3PPP/2R1R1K1 b - - 0 17,c8c7
8/5pp1/3np2p/n2k4/p7/2KN1P2/PPN3PP/8 b - - 14 39,a5c4
r7/2p5/8/2k1p1pp/1p6/1PnKP2P/2P1B1P1/r2R1R2 w - - 2 32,d1a1
R7/P5k1/5p2/8/6PK/8/8/r7 w - - 1 68,h4h5
8/kpb5/2p5/p7/P2PR1r1/2P2r2/2Q1R2K/8 w - - 0 45,h2h1
6k1/4q1pp/2p2p2/1p1p1N2/2nPnBQ1/7P/2P2PPK/8 b - - 10 33,e7e8
r2qr1k1/1b1p1ppp/1p4n1/p1p2N2/2P5/P1Q1P3/1P2BPPP/3R1RK1 b - - 1 17,d8g5
8/2p2kpp/p1pb4/8/2P4K/2r5/5R2/4R3 b - - 9 38,f7g6
r5rk/5p1p/4q3/3p1p2/PP6/3QPP2/5P1K/R6R w - - 0 29,a1g1
1r3k2/2p1q1bQ/p1b1prPP/2Pp1p2/3P1P2/4P3/P2B2R1/R5K1 b - - 0 29,g7h6
6r1/5rbk/p2p1p1R/7P/2p1pP2/2PqB3/PP4Q1/4K1R1 b - - 0 32,h7h6
8/p1p1k3/1p2Pqp1/2b3p1/8/2PB3P/P4PP1/4QK2 w - - 3 31,e1e4
r1b1k2r/p1q2ppp/1pQ1p3/4PnB1/8/2P2N1P/PP3PP1/3RK2R b Kkq - 0 16,c7c6
r5k1/ppp2pp1/5P2/3q1RQp/4r3/8/P1p3KP/4R3 b - - 0 32,d5f5
Q4r1k/2b4p/6p1/6P1/4B2P/2p1n2K/8/8 b - - 0 42,c3c2
8/6bp/1R6/5B1k/1p3P1p/6PK/1r6/8 b - - 0 50,b2b3
8/8/8/8/6p1/6K1/4Qp2/6k1 b - - 5 60,f2f1q
1r1q2nr/6bp/3p2p1/3Bp1P1/2P2k1Q/7P/PP3P2/R5K1 b - - 0 28,f4f5
8/6nk/3p3p/4p3/2B1Pq2/3P3P/8/6QK b - - 4 33,g7h5
r7/pppnq3/5p1Q/8/4B2k/5P2/P1P3P1/6K1 b - - 3 26,h4g3
8/4k3/R3p2b/5p2/4KP2/8/8/8 w - - 0 45,e4e5
3R1bk1/p3q2p/2p1P1r1/1p3Qp1/4P3/2B5/PP3PPP/6K1 b - - 3 28,e7d8
r4k2/pQ2pp2/3q4/2R3pr/8/3P4/P4PP1/5RbK w - - 1 26,h1g1
r4rk1/1p3ppp/pNb2b2/8/3q1BPP/8/PPPQ3R/1K4R1 w - - 0 25,f4e3
r4rk1/2p3pp/p2p4/1p1Pppq1/4Pn2/2P2P2/PPQ3PP/RN3R1K w - - 0 22,b1d2
6k1/1pNn1pp1/3P2np/p1r5/8/P6P/5PP1/4R1K1 b - - 3 32,g8f8
8/5p1k/6p1/4P3/2p2P2/2P3pP/P3q3/1Q3RK1 w - - 0 37,b1e1
3r1rk1/1p1bppb1/p1Np2p1/3N4/4P3/4P3/PPPRB1P1/1K5R b - - 0 17,b7c6
r2qk1nr/ppp1b3/7p/4N1pQ/1n1p1p2/1P6/P1P3PP/R1B1R1K1 b - - 3 15,e8f8
5r1k/2p4p/2B3pb/1N1P4/4p3/Q5PK/4q3/2R5 b - - 3 42,h6c1
2k2bnr/Bp1rq1pp/p1pp1p2/8/4P3/R1PP2QP/P4PP1/1R4K1 b - - 3 18,d6d5
3r4/3rNp2/3p1Pp1/1p5R/4PK1k/P6b/1P5R/8 b - - 5 40,g6h5
8/1R3p2/2k5/7R/5pp1/1PP4P/1P4PK/2n1r3 w - - 1 36,b7b5
r4r1k/1b4pp/5p2/p3PP2/3p4/3B4/qP4PP/2RQR1K1 w - - 0 22,b2b3
N2k2nr/pp3pQp/3pb3/2b1p3/2BnP3/8/PPPP1qPP/R1BK2NR w - - 1 10,c4e6
r5nr/pb3ppp/np3k2/1N6/1bp2BPP/2N5/PPP2P2/2KRR3 b - - 0 14,b4c3
r1b1k2r/pppp1N1p/2n5/2b5/2B1Pppq/3P2n1/PPP1Q2P/RNB2K1R w kq - 0 11,h2g3
2rq2nr/p4ppp/4pk2/8/1b1p4/2N3P1/PP1QPP1P/R1B1K2R b KQ - 6 14,d4c3
2b2bk1/5p2/2p2Ppp/3p4/Nq5N/3p2Q1/5PPP/R3r1K1 w - - 2 32,a1e1
4r1k1/2q2p1p/b4p2/3QN3/8/1B5P/1PP2bP1/RN5K w - - 1 22,e5f7
4B2k/2R3R1/pp1N1n2/3b3p/5q2/P4n1P/1P4P1/3Q3K w - - 1 30,e8h5
3rr1k1/pb3ppp/8/1pp5/2B1qPQ1/1Pn1P3/P5PP/R3RNK1 w - - 1 21,f1g3
2k5/Npp1pp2/2n1q3/4b1rr/Q5p1/1P1pP2P/P7/3R2K1 b - - 0 23,c6a7
r1b3kr/ppp2pp1/1b3q1p/3PN3/1nP1Q3/6P1/PB1N2KP/4RB1R w - - 5 18,a2a3
r4rk1/p2n2pp/1p2pP2/2N5/3p1qn1/P2B1b2/1PP1QPPP/R4RK1 w - - 0 16,e2f3
r4rk1/pbp1bppp/8/1ppqP3/5B2/3B4/PPP2PPP/R2QR1K1 w - - 0 13,d3b5
r4r2/pp3pkp/4p3/3p1p2/Q2Pn2q/2P2P2/PP4PP/RN2R1K1 w - - 1 16,f3e4
r2qrk1Q/ppp3p1/2n5/3pP1N1/1b1p1P1n/8/PPP3P1/R1B2RK1 b - - 6 18,f8e7
3r1rk1/1p3ppp/p1bPp1q1/8/1PB4Q/P7/2P2PPP/3RR1K1 w - - 3 20,c4d3
r5rk/pp3R1p/2nb4/3p4/8/3B3P/PPP5/1K2R3 b - - 0 26,a8b8
1k6/pp1Q4/3p3p/3Pp3/P2bP3/1p3P2/2r5/1K6 b - - 3 34,d4c5
r4rk1/p4pbp/2p1b1p1/4p1q1/1PB5/PQP1nP2/R4BPP/1N3RK1 w - - 6 17,c4e6
8/3Q3p/p5pk/8/3p1r2/3Pq3/P5PP/5R1K w - - 2 35,f1c1
8/2k1q3/p3P2p/1p2Q1p1/8/8/6PP/7K b - - 4 49,c7d8
r1b1k2r/ppp2pp1/3bp3/4q2p/4Q3/1P1B4/P1PP1PPP/1RB2RK1 w kq - 0 12,e4f3
1k1r4/1R4R1/2p5/5p2/4p3/P6P/1P1r4/1K6 b - - 2 33,b8c8
8/ppp4R/3p2p1/3Pr2n/1PP4P/5QPk/2q5/5RK1 w - - 3 36,h7h5
r4rk1/ppp2ppp/2b1p3/6q1/1P1P4/P3n3/1B2BPPP/R2Q1RK1 w - - 0 16,f2e3
2r1kbnr/3b1ppp/p2Pp3/4N1B1/qp1Q4/8/1PP2PPP/1NKR3R w k - 2 14,h1e1
7k/R5pp/1pq5/5b2/3R2P1/2P2Q2/P4P2/6K1 b - - 0 44,c6f3
8/R4ppp/4p1k1/4N3/4nP2/6PK/4r2P/8 b - - 5 37,g6f6
8/1RR2pk1/6p1/3r4/1P4PK/5r2/8/8 w - - 3 45,g4g5
r3R1k1/1p3rpp/p5q1/8/P7/1Q4P1/1P3PK1/4R3 b - - 2 35,a8e8
2r2rk1/pp2b1pp/3qp3/2p2P2/2P2pQ1/1P1Pp3/PB5P/R4RK1 b - - 1 19,f8f5
2r1k2r/pp2ppb1/1q3np1/3pB2p/2nP3P/P1N1PP2/1P1QN1P1/1KR4R w k - 5 18,d2d3
r5k1/2p2pbp/2pp2p1/5P2/2r1P3/1q6/P4QPP/1K1R3R w - - 0 25,a2b3
2r3k1/1p2qp2/4p2Q/P2pb1p1/2r5/2B3RP/5PP1/2R3K1 b - - 0 28,e5g3
8/3r4/3pR3/pk6/2r5/1K6/8/6B1 b - - 8 53,d6d5
r1b2k2/ppp3p1/7p/3pp3/7q/1B4N1/PPPPn1PP/RNB3KR w - - 2 16,g3e2
2kr4/pp6/3p2q1/8/1pP2QPP/5P2/bP1R4/2K1R3 w - - 0 29,h4h5
r4r1k/1bqp1ppp/p3p3/1p2Q3/1P6/1B4PP/1BP4K/R4R2 b - - 0 24,c7c6
rnb2k1r/ppQp1ppp/8/3P4/2P1p3/8/P2NP1PP/RN1K1Bq1 b - - 0 16,b8a6
r1b3k1/ppp1qBpp/8/4b3/4P3/1Q2N3/PPP3PP/3R2K1 b - - 0 19,e7f7
r4b1k/ppR4p/6p1/4Q3/4p3/1N2q2b/P5P1/7K b - - 1 29,f8g7
8/p7/r7/N1n5/K2k4/5P2/P1R5/8 w - - 11 59,a4b5
r7/ppk4p/2pb2p1/q7/8/1P3Q2/PBP2PPP/R3r1K1 w - - 0 21,a1e1
r4Q1k/p1p3p1/2p4b/q3p3/2P5/3B1R2/PP6/7K b - - 2 27,a8f8
r4r1k/1bq2pb1/p3pNQ1/1p2N1Pp/2p3RP/8/PP3P2/1K5R b - - 0 24,f7g6
q4r1k/3RQ1pr/5p2/2P3p1/P5P1/8/1P3P2/4R1K1 w - - 3 34,e1e3
r2qr3/pb3k2/1p1bpnQ1/2p5/3P4/3B4/PPP2PPP/R2R2K1 b - - 1 18,f7e7
3R4/r3r1pp/p3kR2/1p5Q/4P3/1Pq4P/2P3P1/6K1 b - - 0 25,c3f6
r1qr2k1/pbp2pbp/1pn1p3/4P3/4Q3/B1PB1N2/P1P2PPP/3RR1K1 b - - 4 16,c6e5
r7/pR6/2p2Rk1/q4p2/3P1Pp1/2P3Pr/PP3KQ1/8 b - - 0 34,g6f6
4r1k1/7p/p1Pp2p1/1p4R1/2pKPpB1/P1N5/1P5r/6R1 w - - 0 39,c6c7
3rq2k/pbp3R1/np3r1p/8/1P5P/2P1Pp1p/P1Q1B3/2K2NR1 b - - 0 26,f3e2
2r1k2r/ppq2pp1/4pnp1/3p4/3Q2P1/P3BN1P/1PP2P2/2KR3R w k - 1 17,g4g5
r3kb1r/pp2npp1/4p3/q3P1p1/3Q4/2N5/PPP2PPP/2KR3R b kq - 1 16,e7c6
rn1q1bnr/pbpp2p1/1p2k1Np/4Q3/3PPB2/8/PPP3PP/RN2K2R b KQ - 2 11,e6f7
r2q1rk1/1p1b1ppp/4p2b/p2p2N1/5P2/P1NQ2P1/1PP5/2KR3R b - - 3 21,h6g5
r1bq3r/pppk1Npp/1b1p4/3P4/8/P1Nn4/BP1BQnPP/R4K1R b - - 0 15,d8f8
r4r2/1b4Qp/1p2k1pN/p5Pq/8/P2pP3/3P1P2/2R1KR2 w - - 8 34,g7b7
r4rk1/ppp2p1p/3q1p2/n1p1p2N/4P1Q1/2PP3P/P4PP1/R3K2R b KQ - 1 16,g8h8
Q4b1r/1rpk1ppp/3p4/2n1p3/2P3Pq/2NnPP1P/PP1PK3/R1B3NR w - - 3 15,c3e4
r1b1r2Q/p2nbpk1/2p3p1/4p3/1p2P3/5PP1/qPP4Q/1NKR1B1R b - - 0 20,e8h8
2rqkb1r/3b1pp1/p1n1p2p/2p1P2B/3pNP2/1PpP2Q1/P1P3PP/R1B2RK1 b k - 3 16,c6e7
r4rk1/pbpn1ppp/1pq1p3/8/3n1P2/P2P3P/BPP1N1PN/R2Q1RK1 w - - 3 16,e2d4
r2k1r2/1R1pn2p/p1n2bp1/P7/8/2q4P/2P3P1/3Q1R1K b - - 0 22,c3a5
3r4/1bp2Qrk/p1p4p/1p2PPq1/3P1R2/2P5/P1P3PP/5R1K w - - 1 27,f7f6
r4Q1k/p5pp/2pP3r/3p4/6q1/3B2N1/PPP5/R4RK1 b - - 6 29,a8f8
r4rk1/ppp1ppbp/3p2p1/5q2/P1PPn3/2N2N1P/1P1BPPB1/2Q2K1R w - - 3 15,f3h4
4r3/2Br1k1p/R1R1pp2/1P2b3/8/7P/5PP1/6K1 w - - 3 33,b5b6
7k/4r1b1/2b1N1Qp/1p1p1B2/1P6/8/6PP/4B2K w - - 0 38,e6g7
4r3/8/pkp4p/3p2p1/1P4q1/3P1b2/P1PK3Q/4R3 b - - 4 41,e8e1
r2q1rk1/pp3ppp/3b4/3p3b/3Qn3/1P2PN1P/PB2BPP1/R4RK1 b - - 4 16,h5f3
8/R2n4/1p2kn2/4p2b/4P1N1/3PK2P/1r2B2B/8 w - - 2 43,g4f6
1nk5/RR1npp2/3p4/B1pP3p/N2bP3/5P2/4K1rP/8 w - - 9 35,e2d3
3r3r/1b2kppp/p2Np3/1p2P3/3Q1P2/P7/1Pq3PP/R4R1K w - - 0 19,d4b6
4R3/1Q3pk1/6p1/7p/5q2/2P4P/PP1r3P/6RK w - - 1 33,e8e1
3r4/p1R1n3/1p1p2kp/3PB1p1/PP4P1/7P/5P2/6K1 b - - 2 31,e7d5
r2qkbnr/pp1n1ppp/2p1p3/8/2B1N3/5Q1P/PPPP1PP1/R1B2RK1 b kq - 3 8,g8e7
r1b1r1k1/pp3p1p/2p2PpQ/5n2/3p1P2/3BR3/PPP3PP/R5K1 b - - 0 20,f5h6
r2qkb1r/pp1nnppp/4p3/1NppPb2/3P4/3B1N2/PPP2PPP/R1BQ1RK1 b kq - 1 8,f5d3
2r4k/pR2N1pp/8/Pn6/3b4/8/1P1Q1qPP/6K1 w - - 0 26,d2f2
7k/5Rp1/7p/8/8/5pqP/2Q3P1/3r2K1 w - - 2 45,c2d1
r3k2r/3n1ppp/1p2p3/3p3b/1B1Pn3/5NP1/PP2PPBP/2R1K2R b Kkq - 0 18,a8a2
5k2/p4p1p/4r3/5r2/2N5/1P4P1/P1R2KPP/8 w - - 8 33,f2g1
r4rk1/3b1pbp/p1Np1qp1/1ppP4/4PnPP/5Q2/PPP1BP2/1K1R2NR w - - 1 18,g4g5
r1b2r1k/p1p3pp/1p1q1p2/3P4/1QB1Pp2/2P5/P4PPP/3RR1K1 b - - 1 19,d6e5
r4rk1/1p2q1p1/p1np3B/2n2p2/P7/6QP/1P3PP1/RB1b2K1 b - - 0 21,e7e6
3r1rk1/1b3ppp/p7/3pN3/N3nP1q/P7/1P3bPP/2RQBR1K w - - 3 22,d1e2
rnb1r1k1/pp3ppp/8/4B3/Q1PPn3/8/P3B1PP/q3NK1R b - - 1 16,f7f6
8/6kp/R1p1p1p1/3pPr2/3P1PKP/1r6/8/5R2 w - - 0 35,a6c6
4k3/ppp2pB1/7p/2b5/5P2/2P3Pq/PP1Q3P/6K1 w - - 1 24,g1h1
r4rk1/pppq1ppp/1b2b3/3np1N1/2B1Q3/P2P1P2/1PP3PP/R1B2R1K b - - 4 14,c7c6
r7/P7/Rr6/Rk1pp3/1P3ppp/1N1K4/5P2/8 b - - 1 39,b5b4
7k/1p4q1/p6p/2b1p3/2B5/2P4R/PP3rPP/4Q2K w - - 0 34,h3d3
3qnrk1/2rn1p1p/4p1pP/6P1/3Q4/PN6/1B3P2/1K1R3R b - - 2 30,d8c8
3r1rk1/p4ppp/1p6/7q/7R/P3P1P1/2Q2P1P/1R4K1 b - - 5 31,h5f3
5r1k/2R2prp/p4p2/1p2pP1Q/3n4/P2B1P2/1P1q2PP/5R1K w - - 1 27,d3e4
8/8/N1k1pp1p/1p3p2/3P1K2/bP2PPP1/7P/8 w - - 1 34,g3g4
4r1k1/p1q1n1pQ/p3n1P1/3p2N1/8/2P5/1P3PP1/6K1 b - - 1 34,g8f8
rn2kbnr/pQpqpbpp/5p2/8/2pP4/2N1P3/PP3PPP/R1B1KBNR b KQkq - 0 7,d7c6
2r4k/pp3p2/4r1p1/3pP3/3QqP2/2PR4/P5RP/6K1 w - - 6 34,d4d5
kr3r2/1p6/7R/3B4/2P3p1/7P/6P1/7K b - - 0 34,g4g3
r3r1k1/1p6/p1pq2pp/3p4/1P1Pn3/P4N1P/1B2nPP1/RQ3R1K w - - 4 24,f1e1
4R1k1/pp3q1p/2p2PnQ/3p4/8/2P3P1/PPB5/6K1 b - - 0 38,f7e8
8/1p2kpp1/p3p1p1/3pbn2/P6q/1P1B2N1/5PP1/3Q1RKr w - - 6 25,g3h1
rnb3kr/ppqn1ppp/2p1N3/3pP3/1BPP2Q1/2P5/P4PBP/R3K2R b KQ - 0 14,f7e6
r3k2r/ppp1pp1p/2n3p1/5b2/8/P1q1BN2/1Q4PP/K2R1B1R b kq - 1 16,c3e3
2kr1b1r/ppp1pNpp/5n2/8/3n2Pq/2N2P2/PP4K1/R1BQ1R2 b - - 2 17,d4f5
r4rk1/ppp2p1p/2nb1p2/3Nq3/4P3/5B2/PPP2PPP/R2QK2R w KQ - 0 12,e1g1
1rb2rk1/pq2bpp1/2pp1n1p/2n1p3/N3P1PB/3B1P2/PPPQ3P/2KR2NR w - - 1 14,a4c5
7k/pp3qpp/8/8/1Q1p4/P2Pr3/1P4RP/6K1 w - - 0 31,b4d4
2k4r/1pqbB3/p1n1p1p1/N2p3p/1P1P2n1/P4r1P/4BPP1/2RQ1RK1 w - - 0 19,e2f3
r5Rk/pbp5/2p1pN2/4n3/7r/8/PPP1B3/2K3R1 b - - 8 32,a8g8
2r2rkR/pp3pb1/5q2/2npp3/6p1/2P1PN2/PPQN1PP1/2K4R b - - 1 18,g7h8
4r1k1/6pp/3q4/1Qp5/7P/4pPP1/7K/4R3 b - - 1 34,d6d4
7R/p1r1kpp1/4p3/N1p1P3/2P2P2/2K1n1P1/P7/8 b - - 2 33,c7d7
r3r1k1/pp3ppp/2p5/q2bBP2/2pP2Q1/2P5/P5PP/R4RK1 b - - 2 18,a5c3
rnb2k1r/pp1p1ppp/4pq2/2P5/1P2n3/8/P1P1PPPP/RN1QKBNR w KQ - 1 7,c2c3
8/5pk1/R6p/1p3Np1/5n2/7P/6r1/7K b - - 1 56,g7f8
rn3k2/pp2q1p1/7r/3Q3p/2B4P/5P2/PPP5/2KR4 b - - 0 19,b8c6
8/2R5/7p/4p1pk/3rP1P1/1p1q1P2/1Q4K1/8 b - - 0 45,h5h4
2r2rk1/pp3p1p/2qp1BpQ/4p3/2B5/1P1N1P1b/P4P2/2R3K1 b - - 5 22,c6f3
5r1k/1pR3pp/4Qn2/p2p4/P6P/4PqPB/1B1b1P2/6K1 b - - 2 31,f6e4
